[ 2018-11-13T19:27:42+08:00 ] 49.80.145.250 /index.php?g=User&m=Share&a=modifyAgent&id=350&token=ynzfui1406882414
INFO: [ app_begin ] --START--
INFO: Run ReadHtmlCache Behavior [ RunTime:0.000532s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000630s ]
SQL: SHOW COLUMNS FROM `wy_user_group` [ RunTime:0.003576s ]
SQL: SELECT * FROM `wy_user_group` WHERE ( `id` = 4 ) LIMIT 1   [ RunTime:0.000138s ]
SQL: SHOW COLUMNS FROM `wy_users` [ RunTime:0.003654s ]
SQL: SELECT * FROM `wy_users` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000220s ]
SQL: SHOW COLUMNS FROM `wy_wxuser` [ RunTime:0.004230s ]
SQL: SELECT * FROM `wy_wxuser` WHERE ( `token` = 'ynzfui1406882414' ) AND ( `uid` = 1 ) LIMIT 1   [ RunTime:0.000237s ]
SQL: SHOW COLUMNS FROM `wy_token_open` [ RunTime:0.003462s ]
SQL: SELECT `queryname` FROM `wy_token_open` WHERE ( `token` = 'ynzfui1406882414' ) LIMIT 1   [ RunTime:0.000135s ]
NOTIC: [8] Undefined index:  width D:\www\js-jifang.com\weiwincms\Lib\Action\UserAction.class.php 第 62 行.
SQL: SELECT `queryname` FROM `wy_token_open` WHERE ( `token` = 'ynzfui1406882414' ) LIMIT 1   [ RunTime:0.000095s ]
SQL: SHOW COLUMNS FROM `wy_function` [ RunTime:0.003265s ]
SQL: SELECT * FROM `wy_function` WHERE ( `funname` = 'share' ) LIMIT 1   [ RunTime:0.000132s ]
SQL: SHOW COLUMNS FROM `wy_jjr` [ RunTime:0.003703s ]
SQL: SELECT * FROM `wy_jjr` WHERE ( `ID` = 350 ) AND ( `Token` = 'ynzfui1406882414' ) LIMIT 1   [ RunTime:0.000381s ]
SQL: SHOW COLUMNS FROM `wy_brokerage` [ RunTime:0.003421s ]
SQL: SELECT * FROM `wy_brokerage`  [ RunTime:0.000928s ]
NOTIC: [2] Cannot use a scalar value as an array D:\www\js-jifang.com\weiwincms\_Core\Lib\Core\View.class.php 第 69 行.
INFO: [ view_template ] --START--
INFO: Run LocationTemplate Behavior [ RunTime:-0.051307s ]
INFO: [ view_template ] --END-- [ RunTime:0.002091s ]
INFO: [ view_parse ] --START--
NOTIC: [8] Undefined variable: statistics_list D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 120 行.
NOTIC: [8] Undefined variable: statistics_list D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 121 行.
NOTIC: [8] Undefined variable: statistics_list D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 122 行.
NOTIC: [8] Undefined variable: statistics_list D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 123 行.
NOTIC: [8] Undefined variable: statistics_list D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 123 行.
NOTIC: [8] Undefined variable: statistics_list D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 123 行.
NOTIC: [8] Undefined variable: statistics_list D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 123 行.
NOTIC: [8] Undefined variable: statistics_list D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 123 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
NOTIC: [8] Use of undefined constant brokerage_id - assumed 'brokerage_id' D:\www\js-jifang.com\weiwindata\logs\Cache\User\d7acfb509a489647422f9036777a9789.php 第 560 行.
